ITEM,CONDITION,CONTEXT,SENTENCE,QUESTION,CORRECT,WRONG,TYPE
101,1,"Lucas e Pedro eram muito amigos. Um dia, eles estavam conversando e Pedro foi muito mal educado. Depois disso,","Lucas*amarrou um bode*do colega*de trabalho.",1,"Lucas ficou zangado com o colega.","Lucas trabalhou com o colega.",item
104,1,"Dom tinha interesse em Paula. Um dia, eles se encontraram. Mas,","Paula*não deu a mínima*para o Dom*no evento.",1,"Paula não deu atenção a Dom.","Paula não entregou algo a Dom.",item
107,1,"Juca estava terminando a faculdade. Ele faria a prova da OAB no dia seguinte. Então,","Juca*não pregou o olho*na véspera*do exame.",1,"Juca estava sem dormir.","Juca estava muito atento.",item
110,1,"Mara estava cuidando dos primos. Eles estavam discutindo muito naquela manhã. Então,","Mara*botou panos quentes*na discussão*dos primos.",1,"Mara amenizou uma briga.","Mara incitou uma briga.","item"
113,1,"Ana estava disputando um torneio. No dia, ela não foi com o uniforme adequado. Então,","Marcio*deu uma colher de chá*para Ana*no torneio.",1,"Márcio falicitou as coisas para Ana.", "Márcio levou Ana para tomar chá.","item"
116,1,"Os amigos de Paulo estavam discutindo. Paulo chegou e ouviu a conversa. Então,","Paulo*meteu o bedelho*na conversa*dos colegas.",1,"Paulo foi intrometido.","Paulo foi intrometido.","item"
119,1,"Carla e seu colega estavam atrás de uma promoção. Carla sabia que havia uma vaga de gerente disponível no setor. Então,","Carla*escondeu o ouro*do colega*por ambição.",1,"Carla omitiu uma informação do colega.","Carla mentiu para o colega.","item"
122,1,"Carlos é uma pessoa muito colaborativa. Um dia, a igreja de sua comunidade entrou em reforma. Então,","Carlos*moveu céus e terra*pela obra*da igreja.",1,"Carlos fez muitas coisas pela obra.","Carlos fez trabalho braçal na obra","item"
102,2,"Pedro é responsável por um projeto. Ele deveria entregar alguns relatórios até o fim do dia. Porém,","Pedro*gastou muito tempo*na reunião*da manhã.",1,"Pedro não fez algo útil.","Pedro ocupou seu tempo.","item"
105,2,"Bruno conheceu uma mulher no Tinder. Um dia, eles marcaram um encontro. Mas,","Bruno*foi bastante frio*com a mulher*no encontro.",1,"Bruno foi desatencioso.","Bruno estava sentindo frio.","item"
108,2,"Bruna costuma ter uma rotina rígida. Ela teve um burnout. Então,","Bruna*saiu da rotina*nas férias*de janeiro.",1,"Bruna fez algo fora do habitual.","Bruna transformou seus hábitos.","item"
111,2,"Mauro é muito responsável. Ele comecou a trabalhar bem jovem. Por isso,","Mauro*foi o alicerce*da família*desde cedo.*",1,"Mauro foi um suporte para família.","Mauro tabalhou com a família.","item"
114,2,"Paulo participou de uma reunião de projeto no trabalho.","Paulo*deu uma ideia*excelente*no trabalho.",1,"Paulo comunicou uma ideia.","Paulo desistiu de uma ideia.","item"
117,2,"Artur teve um problema familiar sério. Ele passou a se sentir mal. Então,","Artur*entrou em depressão*com o evento*familiar.",1,"Artur ficou em estado depressivo.","Artur rompeu com a família.","item"
120,2,"Dayse é muito qualificada e competente. Ela é reconhecida pelo seu trabalho. Por isso,","Dayse*tem alto renome*em seu setor*de trabalho.",1,"Dayse tem prestígio no setor.","Dayse é conhecida no setor.","item"
123,2,"Lara trabalhou muito em sua pesquisa. Ela se preparou bem para a banca. Portanto,","Lara*estava brilhante*na defesa*de mestrado.",1,"Lara estava se apresentando bem.","Lara estava maquiada na defesa.",item"
103,3,"Sara deseja algo novo. Ultimamente, sonha em ser uma influencer de sucesso. Então,","Sara*segue arco-íris*na vida*desde cedo.*",1,"Sara é sonhadora.","Sara é batalhadora.","item"
106,3,"Davi queria ser promovido. Um dia o chefe o convocou para uma reunião. Então,","Davi*alisou o chefe*na reunião*de equipe.",1,"Davi bajulou o chefe.","Davi acariciou o chefe.","item"
109,3,"Iágo queria aprender coisas novas. Todos os dias, antes de ir trabalhar, estudava. Então,","Iágo*afinou a mente*em casa*pelas manhãs.",1,"Iágo adquiriu conhecimento.","Iágo aprendeu um instrumento.","item"
112,3,"O filho de Ana brigou com o colega na escola. Ana foi chamada pela diretora. Então,","Ana*aparou o filho*na escola*pela manhã.",1,"Ana corrigiu o comportamento do filho.","Ana buscou o filho na escola.","item"
115,3,"José tinha vergonha de falar em público. No trabalho sempre tinha que conduzir reuniões. Então,","José*acumulou ferrão*com os anos*de trabalho.",1,"José ficou confiante.","José trabalhou com abelhas.","item"
118,3,"Lucas tinha muito trabalho para fazer. Só que ele não estava disposto. Então,","Lucas*arranhou a barriga*no emprego*pela manhã.",1,"Lucas estava com preguiça.","Lucas estava com alergia.","item"
121,3,"Laís foi chamada para uma reunião de projeto. Ela acabou opinando sobre o conteúdo antes da hora, Então,","Laís*colheu manga verde*na reunião*de trabalho.",1,"Laís falou antes da hora.","Laís falou mais do que devia.","item"
124,3,"João ficou sabendo de uma história. Um dia ele se reuniu com a equipe. Então,","João*esguichou a trama*para todos*da equipe.",1,"João contou um segredo a todos.","João contou uma história a todos.","item"
1,4,"Marcos estava passeando na praça. De repente, um pitbull pulou em Marcos. Então,","Marcos*foi machucado*pelas patas*do animal.",1,"Marcos foi atacado pelo animal.","Marcos atacou o animal.","filler"
2,4,"O sistema de matrícula estava fora do ar. Por isso, Maria não conseguiu realizar a matrícula na faculdade. Portanto,","Maria*foi expulsa*da faculdade*injustamente.",1,"Maria foi expulsa da faculdade.","Maria expulsou alguém da faculdade.","filler"
3,4,"Meu pais plantaram pés de laranja e mexerica no sítio. Eles só vistam o local no verão. Então,","As frutas*foram colhidas*pelo caseiro*no inverno.",1,"O caseiro colheu as frutas.","O caseiro plantou as frutas.","filler"
4,4,"Bianca ama gatos. Um dia, ela viu uma gata no gatil. Então,","A gata*foi adotada*pela menina*no gatil.",1,"A Bianca adotou a gata.","A Bianca deu a gata.","filler"
5,4,"Luísa é desorgnizada. Ela não entregou o projeto no prazo. Então,","Luísa*foi chamada*pelo chefe*na sala.",1,"O chefe chamou a Luísa.","A Luísa chamou o chefe.","filler"
6,4,"Diva é uma cineasta.Ela concorreu ao prêmio de melhor roteiro de curta-metragem no festival. Depois disso,","Diva*foi premiada*no evento*de abertura.",1,"Diva foi premiada pelo curta.","Diva premiou alguém pelo curta.","filler"
7,4,"Julio emprestou sua bicicleta nova para um amigo. O amigo foi descuidado. Então,","A bicicleta*foi quebrada*pelo amigo*do menino.",1,"O amigo estragou a biclicleta.","O menino devolveu a bicleta.","filler"
8,4,"Larissa ganhou um cinto vintage de presente de sua avó. Ela adorou o presente. Então,","O cinto*foi usado*pela atriz*no espetáculo.",1,"A atriz usou um cinto.",".A atriz não usou o cinto.","filler"
9,4,"A estilista estava atrasada. Ela procurava alguém para costurar a roupa. Então,","A roupa*foi costurada*pela moça*da confecção.",1,"A moça da confecção costurou uma roupa.","A moça da confecção ganhou uma roupa.","filler"
10,4,"Na época da Copa femina, a escola faria um evento especial. Os horário iriam se alterar. Por isso,","A merenda*foi oferecida*pela escola*mais cedo.",1,"A escola serviu a merenda cedo.","A merenda foi servida tarde.","filler"
11,4,"O governo federal abriu licitação para construção civil. Muitas empresas participaram. Então,","O prédio*foi construído*pela empresa*mineira.",1,"A empresa mineira construiu um prédio.","A empresa mineira não ganhou a licitação.","filler"
12,4,"O computador de Bruno estava com defeito. Ele precisava dele com urgência. Então,","O computador*foi formatado*pelo técnico*ontem.",1,"Alguém consertou o computador.","O computador ficou estragado.","filler"
13,4,"O escritor Alê Santos queria ampliar seu público. Para isso, ele decidiu criar um podcast. Depois disso,","O podcast*foi lançado*pelo escritor*no Spotify.",1,"O podcast foi lançado no Spotify.","O podcast não foi lançado.","filler"
14,4,"A criança era muito apegada aos avós. Os pais não estavam presentes. Então,","A criança*foi educada*pelos avós*desde sempre.",1,"A criança foi criada pelos avós.","A criança foi criada pelos pais.","filler"
15,4,"Igor é restaurador de móveis. Um dia ele recebeu uma mesa para restaurar. Então,","A mesa*foi restaurada*por Igor*com verniz.",1,"Igor restaurou a mesa.","A mesa foi construída.","filler"
16,4,"O aluno procrastinou para fazer o trabalho. No dia da entrega, eleestava com pressa para finalizar. Então,","O trabalho*foi digitado*pelo aluno*rapidamente.",1,"O aluno digitou o trabalho.","O trabalho foi entregue.","filler"
17,4,"Dora estava em uma reunião de condomínio. Ninguém queria escrever a ata. Então,","A ata*foi escrita*pela Dora*na reunião.",1,"Dora escreveu a ata.","Dora assinou a ata.","filler"
18,4,"Deixaram a portaria do prédio aberta. Por isso, o cachorro do condomínio fugiu. Então,","O cachorro*foi capturado*pela carrocinha*ontem.",1,"A carrocinha capturou o cachorro.","A carrocinha soltou o cachorro.","filler"
19,4,"A mensalidade do colégio iria aumentar. Fizeram uma matéria no jornal sobre o assunto. Então,","A matéria*foi compartilhada*por um pai*no grupo.",1,"O pai compatilhou a matéria.","O pai escreveu a matéria.","filler"
20,4,"O escritor decidiu escrever um texto sobre sua cidade natal. Ele fez entrevista com vários moradores. Por isso,","O texto*foi escrito*pelo autor*em dois anos.",1,"O autor escreveu o texto.","O autor compartilhou o texto.","filler"
21,4,"Felipe gripava com frequência. Ele não ficou gripado este ano. Então,","Felipe*estava protegido*da gripe*pela vacina.",1,"O Felipe ficou imunizado.","O Felipe ficou gripado.","filler"
22,4,"Tiago estava muito bêbado. Ele gritou com todos os amigos na festa. Depois disso,","Tiago*foi criticado*pelo comportamento*ontem.",1,"Alguém criticou Tiago.","Alguém elogiou Tiago.",1,"filler"
23,4,"A agência construiu um site para uma loja de cosméticos. O cliente precisa do site com urgência. Então,","O site*foi construído*pela agência*em um mês.",1,"A agência construiu o site.","A agência solicitou um site.","filler"
24,4,"Fizeram um show na Pampulha. A lagoa ficou suja depois do evento. Porém,","A lagoa*foi limpa*pela prefeitura*ontem.",1,"A lagoa está limpa.",".A lagoa está suja.","filler"
25,4,"As capivaras estavam doentes. A zoonoses não atendeu o caso. Então,","As capivaras*foram resgatadas*da lagoa*pela ONG.",1,"A ONG resgatou as capivaras.","As capivaras estão soltas.","filler"
26,4,"As escolhas do presidente não estavam agradando. Houve trocas no Ministério da Educação. Então,","O ministro*foi escolhido*pelo presidente*em maio.",1,"O presidente nomeou o ministro.","O presidente demitiiu o ministro.","filler"
27,4,"Ana tinha uma prova de literatura. Ela levou o livro de Machado de Assis para a copiadora. Então,","O livro*foi xerocado*pelo atendente*rapidamente.",1,"O atendente xerocou o livro.","O atendente guardou o livro.","filler"
28,4,"O ano letivo estava prestes a começar. Os pais aguardavam o cronograma das atividades extracurriculares. Então,","O cronograma*foi enviado*pela diretora*aos pais.",1,"Os pais receberam o cronograma.","Os pais enviaram o cronograma.","filler"
29,4,"O telefone foi uma das grandes invenções do mundo. Houve muitas experimentações de diversos cientistas. Mas,","O telefone*foi criado*por Grahan Bell*em março de 1876.",1,"Graham Bell baniu o telefone.","Graham Bell criou o telefone.","filler"
30,4,"Xica da Silva foi uma novela exibida pela TV Manchete. Ela foi escrita por Walcyr Carrasco. Além disso,","A novela*foi protagonizada*por Taís Araujo*nos anos 90.",1,"Taís Araujo atuou na novela.","Taís Araujo escreveu a novela.","filler"
31,4,"Os alunos queriam mais condicionamento físico. O professor de montou uma aula de ginástica para eles. Então,","Os treinos*serão executados*em séries*pelos alunos.",1,"O professor criou os treinos.","Os alunos criaram os treinos.","filler"
32,4,"A pesquisa coleta dados de comportamento em aplicativos. Eles precisam de jovens para o experimento. Depois disso,","Os dados*serão gerados*com o uso*da plataforma.",1,"A plataforma gerou os dados.","O uso gerou os dados.","filler"
33,4,"O teatro municipal recebeu um festiva de comédia. Um humorista fez uma piada preconceituosa. Então,","O humorista*foi vaiado*pela plateia*do teatro.",1,"A plateia vaiou o humorista.","O humorista vaiou a plateia.","filler"
34,4,"O decorador foi contratado para um serviço. O cliente pediu um quadro surrealista no projeto. Então,","O quadro*foi colocado*na sala*pelo decorador.",1,"O decorador colocou o quadro na parede.","O cliente colou o quadro na parede.",1,"filler"
35,4,"A secretaria precisava fechar os boletins. O computador estava sem o programa de lançamento de notas. Então,","O programa*foi instalado*no computador*da secretaria.",1,"Alguém instalou o programa.","A secretária instalou o programa.",1,"filler"
36,4,"A professoira do maternal estava de licença saúde. A escola fez uma sessão de cinema com o filme Pinóquio. Então,","O filme*foi assistido*pelos alunos*do maternal.",1,"Os alunos do maternal assistiram ao filme.","Os professores assistiram ao filme.",1,"filler"
